,Wavelength,Reflectivity
140,580.0,94.58479872355852
141,582.0,94.56234636649026
142,584.0,94.53872136778342
143,586.0,94.51392372743801
144,588.0,94.48795344545402
145,590.0,94.46081052183148
146,592.0,94.43249495657035
147,594.0,94.40300674967064
148,596.0,94.37234590113238
149,598.0,94.34051241095553
150,600.0,94.30750627914011
151,602.0,94.27332750568611
152,604.0,94.23797609059355
153,606.0,94.20145203386241
154,608.0,94.16375533549271
155,610.0,94.12488599548443
156,612.0,94.08484401383757
157,614.0,94.04362939055214
158,616.0,94.00124212562814
159,618.0,93.95768221906556
160,620.0,93.9129496708644
161,622.0,93.86704448102469
162,624.0,93.8199666495464
163,626.0,93.77171617642955
164,628.0,93.7222930616741
165,630.0,93.67169730528009
166,632.0,93.61992890724751
167,634.0,93.56698786757636
168,636.0,93.51287418626664
169,638.0,93.45758786331832
170,640.0,93.40112889873146
171,642.0,93.34349729250602
172,644.0,93.284693044642
173,646.0,93.2247161551394
174,648.0,93.16356662399824
175,650.0,93.1012444512185
176,652.0,93.0377496368002
177,654.0,92.97308218074332
178,656.0,92.90724208304786
179,658.0,92.84022934371383
180,660.0,92.77204396274122
181,662.0,92.70268594013005
182,664.0,92.63215527588031
183,666.0,92.56045196999199
184,668.0,92.4875760224651
185,670.0,92.41352743329963
186,672.0,92.33830620249559
187,674.0,92.26191233005298
188,676.0,92.18434581597181
189,678.0,92.10560666025205
190,680.0,92.02569486289373
191,682.0,91.94461042389683
192,684.0,91.86235334326136
193,686.0,91.77892362098731
194,688.0,91.69432125707469
195,690.0,91.6085462515235
196,692.0,91.52159860433373
197,694.0,91.4334783155054
198,696.0,91.34418538503849
199,698.0,91.25371981293301
200,700.0,91.15259278016175
201,702.0,91.08479612910872
202,704.0,91.01711208301145
203,706.0,90.94955592788556
204,708.0,90.88214271625615
205,710.0,90.81488726715868
206,712.0,90.74780416613751
207,714.0,90.68090776524738
208,716.0,90.61421218305267
209,718.0,90.5477313046272
210,720.0,90.48147878155454
211,722.0,90.41546803192874
212,724.0,90.3497122403524
213,726.0,90.2842243579388
214,728.0,90.21901710231043
215,730.0,90.15410295759999
216,732.0,90.0894941744495
217,734.0,90.02520277001068
218,736.0,89.96124052794539
219,738.0,89.89761899842513
220,740.0,89.8343494981305
221,742.0,89.77144311025272
222,744.0,89.70891068449266
223,746.0,89.64676283705982
224,748.0,89.58500995067494
225,750.0,89.52366217456779
226,752.0,89.46272942447756
227,754.0,89.4022213826537
228,756.0,89.34214749785531
229,758.0,89.2825169853508
230,760.0,89.22333882691912
231,762.0,89.16462177084826
232,764.0,89.10637433193612
233,766.0,89.04860479149025
234,768.0,88.99132119732852
235,770.0,88.93453136377786
236,772.0,88.87824287167506
237,774.0,88.82246306836704
238,776.0,88.76719906770997
239,778.0,88.71245775006976
240,780.0,88.65824576232268
241,782.0,88.60456951785426
242,784.0,88.55143519655965
243,786.0,88.49884874484398
244,788.0,88.44681587562216
245,790.0,88.39534206831853
246,792.0,88.34443256886765
247,794.0,88.29409238971327
248,796.0,88.24432630980935
249,798.0,88.1951388746189
250,800.0,88.14653439611583
251,802.0,88.09851695278273
252,804.0,88.05109038961231
253,806.0,88.00425831810706
254,808.0,87.95802411627923
255,810.0,87.91239092865078
256,812.0,87.86736166625305
257,814.0,87.82293900662778
258,816.0,87.77912539382578
259,818.0,87.73592303840815
260,820.0,87.69333391744541
261,822.0,87.65135977451793
262,824.0,87.61000211971549
263,826.0,87.56926222963834
264,828.0,87.52914114739598
265,830.0,87.48963968260745
266,832.0,87.45075841140194
267,834.0,87.41249767641813
268,836.0,87.37485758680431
269,838.0,87.33783801821927
270,840.0,87.30143861283062
271,842.0,87.26565877931606
272,844.0,87.23049769286294
273,846.0,87.1959542951688
274,848.0,87.1620272944402
275,850.0,87.12871516539408
276,852.0,87.09601614925667
277,854.0,87.06392825376416
