,Wavelength,QE
153,450.77705198216216,84.05744703151848
154,451.7711536292438,84.29847478587226
155,452.7463191949656,84.46398896166775
156,453.720979117916,84.63151582858603
157,454.6899023171478,84.53325166634808
158,455.6817846418613,84.4721989442709
159,456.6962204955064,84.5781351878766
160,457.7197847026183,84.83006391261911
161,458.7081215417108,85.16787456083219
162,459.6879886443702,85.48793342070967
163,460.6549647319464,85.74332877198023
164,461.7085338516652,86.11637658878955
165,462.7402728848998,86.17320032222041
166,463.6928586582365,86.09890454841535
167,464.72103010007606,85.97039832762808
168,465.6703227704488,85.94711128035193
169,466.6726899336546,85.74094540406776
170,467.69374925489865,85.97079200217932
171,468.688716241798,86.1604679851837
172,469.7041615068992,86.34845528012876
173,470.7124165557743,86.62306776312805
174,471.6961573868311,86.64237252462881
