wavelength[nm],wavelength_err[nm],QE,QE_err
349.9586220033755,1.2506389785249134e-07,8.959837066005019,0.46923380383393987
350.9864304499273,1.2934403583060966e-07,9.589504031396253,0.44455646882782085
351.9937082983766,1.202348275756619e-07,10.246780331025755,0.4817177033288191
352.97355647126614,1.3756532149647097e-07,10.879522429959692,0.4685234282851054
353.9474984348844,1.1939161102529074e-07,11.551970740831258,0.553627677748489
354.94694330735626,1.2673144676937104e-07,12.220870580924071,0.5807661050627654
356.0181361760537,1.7543526777146794e-07,13.026653132489292,0.5765431458599022
356.9640606715481,1.581770109860178e-07,13.747613472319792,0.5245011437305668
357.9115598354633,1.5920691088226165e-07,14.45679563454553,0.49584707350569085
358.8932564818398,1.700518562140164e-07,15.299433340184306,0.4569188679127651
359.9209681231349,1.409946287853321e-07,16.18110521876621,0.44176978349977863
360.94164881515775,1.4993502811017084e-07,17.098707790026122,0.4098560125338765
361.941590583666,1.183740634857614e-07,18.00591455850407,0.3910372276278261
362.920659313848,1.277413049204063e-07,18.971075730047886,0.2800848483005245
363.8947012768149,8.838079752653817e-08,20.029234618968186,0.2285101930276358
364.9719360812719,7.564512796820633e-08,21.218381271497346,0.2508652567568423
365.97190928285687,6.669896938431204e-08,22.335569538585744,0.27138136766435295
366.9953098865067,6.567028604106472e-08,23.486626605464647,0.31818882962230083
367.97041162926587,6.1407422797353e-08,24.619273272667062,0.4305011779286836
368.9379359821677,3.9705625059435046e-08,25.796270790505115,0.385242774746876
370.01837842103936,2.6842174333042442e-08,27.209430900011437,0.38283068089338446
371.0383845686764,1.5150188910807316e-08,28.617664449275143,0.3237405343964453
372.07298925170335,2.066121744071365e-08,30.061646161674478,0.30264321042780756
373.0823386782923,1.0191739500794725e-08,31.418088141070797,0.21356011366115765
374.0655060397232,2.888708413650485e-08,32.82223282437053,0.22536890382833447
375.1013311572802,4.413988959914116e-08,34.20810654409735,0.17582623293765015
376.1507408200282,2.6487795452277454e-08,35.74584029707946,0.28846611726719434
377.148733050875,7.72630312614507e-08,37.25294505178002,0.33698321856326946
378.155248280233,4.7978591763650754e-08,38.75933503372685,0.2279001719553198
379.1502849869737,4.6510450143709624e-08,40.215646982841484,0.13903937920044074
380.1649048963127,5.6626473736143366e-08,41.55195325103198,0.09454201642241106
381.2282872424908,4.5527633557030215e-08,42.88253072392888,0.08253733575803307
382.2415392614613,7.867651311040282e-08,44.122116854881796,0.16434777119985672
383.24970083520174,5.223053040633695e-08,45.383954075765864,0.15854275111684757
384.2702289442307,3.757658966336202e-08,46.71290763178879,0.21598526099471294
385.2703526590992,6.214035524203264e-08,47.96950794077401,0.21562778040383254
386.298450506948,6.175817128694415e-08,49.098477531693334,0.16149896336068434
387.3816997299953,5.602861963473291e-08,50.105695820796804,0.07537115137348391
388.368499767188,6.52627800930021e-08,51.26144095804805,0.30456462425178893
389.3606208750976,4.7435313510877e-08,52.47459774928891,0.5258611995043568
390.3485008309028,2.616752112285789e-08,53.604345923917236,0.734084373697874
391.4001909673101,1.0358699397887005e-07,54.95511566115258,0.9064912168394041
392.40724417768746,5.5303725989696164e-08,56.063443326501634,0.8379097850579538
393.45749866203465,7.478288672287187e-09,57.20379724409546,0.921566850235023
394.4083999662031,1.2595929192823973e-08,58.04825439079042,0.8473868613509807
395.3892694582625,1.6746212610616335e-08,58.96759747276294,0.80160392079197
396.4420935432096,4.8867689436878936e-08,59.87153472330913,0.7020806125518892
397.4076032029618,6.153427639692407e-08,60.738953077332404,0.5534252520840244
398.4345242196643,3.911459885099297e-08,61.53623830320066,0.3150448301825176
399.3685079789892,3.7548715508067686e-08,62.02808728480284,0.20709999426165462
400.3781020544629,6.981998141469661e-12,62.53480722023145,0.24873598102693736
401.3604989968508,3.659530828043669e-08,63.09873049006503,0.17426759227820077
402.3511971661408,7.77331983149779e-08,63.75218579467509,0.04698308584951651
403.3682306848805,5.4937952030456793e-08,64.37548512726086,0.4177632944679073
404.3811964060826,4.2228654722181257e-10,65.36991570426945,0.7906030683770505
405.3486843318458,5.628079580185128e-09,66.28601628953693,1.018711239004358
406.3353856028614,3.805568568368799e-09,67.21584158497134,1.1495403705048814
407.3335526254679,2.233903411907202e-08,67.95120341719031,1.0597871907326208
408.3450632692432,4.4056539463511607e-08,68.67971845574154,0.9622012811465391
409.3889711455365,2.2974114561980828e-08,69.37137554106147,0.9405350934917526
410.31924752592585,1.5211195514077338e-08,70.02116197334503,1.1429276095959493
411.2937097066857,2.1747996493249053e-08,70.78214835542035,1.3674251894453755
412.33880697087216,9.850908761110017e-09,71.6489341460565,1.4942117784081463
413.3108803709468,1.9515215438517522e-08,72.50304537102116,1.5857171082296737
414.3511524845732,1.5205611871085863e-08,73.30977386359869,1.31846903730431
415.2869768965867,3.719207431683117e-10,73.82649419821017,0.9335440631779486
416.28646079510895,2.2947797052233544e-08,74.35159417642517,0.702940519841796
417.2743815907653,1.8461546810507763e-08,74.7121143044937,0.4849454446165265
418.2854915935313,3.2786491534480934e-08,75.00865000387951,0.5925248494736776
419.3097265143984,1.4639795350331495e-09,75.53546845751534,0.6522313114322678
420.2576960197565,1.4906972573434162e-08,76.05276499973753,0.8041549566696776
