Wavelength,QE
470.703789588067,86.50504348012110
471.6891319934650,86.5292338203974
472.6814304935020,86.40547034891180
473.7308830191280,86.408554658414
474.7761283381680,86.29620106108920
475.7622287919840,86.39600142482100
476.7767165596260,86.48716776591100
477.7391279467700,86.84315246706020
478.7350295139970,87.04461120140780
479.8085757908080,87.33619124811440
480.8466831190130,87.56287628432770
481.85784710967200,87.73631974651240
482.8695685944980,87.9226424378138
483.8869293316650,87.99440015468510
484.8936776914450,88.0800390184047
485.9117458332810,88.00530910580430
486.9581289136390,87.9565471179116
488.0309709837780,87.88363974634600
489.0249129337500,87.81954614105610
490.0198747404060,87.76685574948620
491.0551862691430,87.90984387730330
492.0590997697880,87.94383676949630
493.11288617959500,87.9498955823418
494.1307396629200,87.91423486988390
495.1786583181430,87.75828360978400
