,Wavelength,Throughput
406,606,0.438093
407,607,0.425432
408,608,0.4118
409,609,0.396894
410,610,0.381604
411,611,0.366064
412,612,0.350705
413,613,0.335709
414,614,0.321714
415,615,0.30834
416,616,0.296296
417,617,0.285396
418,618,0.275411
419,619,0.266492
420,620,0.258781
421,621,0.251918
422,622,0.245918
423,623,0.240593
424,624,0.235429
425,625,0.230072
426,626,0.224346
427,627,0.218148
428,628,0.210571
429,629,0.202391
430,630,0.193224
431,631,0.183651
432,632,0.173752
433,633,0.164242
434,634,0.15501
435,635,0.146779
436,636,0.139424
437,637,0.133121
438,638,0.127735
439,639,0.123363
440,640,0.11959
441,641,0.116432
442,642,0.113404
443,643,0.110275
444,644,0.106832
445,645,0.10274
446,646,0.0979313
447,647,0.0926134
448,648,0.0867231
449,649,0.0807883
450,650,0.0749364
451,651,0.0693809
452,652,0.0644436
453,653,0.0600046
454,654,0.0561963
455,655,0.0528643
456,656,0.0499114
457,657,0.0471977
458,658,0.0446051
459,659,0.0419731
460,660,0.0393087
461,661,0.0364461
462,662,0.0335923
463,663,0.0308458
464,664,0.0282713
465,665,0.0260185
466,666,0.0241529
467,667,0.0227438
468,668,0.0217755
469,669,0.0212101
470,670,0.0209022
471,671,0.020507
472,672,0.0195194
473,673,0.0174257
474,674,0.0142202
475,675,0.0105249
476,676,0.0071933
477,677,0.00467239
478,678,0.00299454
479,679,0.00193254
480,680,0.00126807
481,681,0.000853725
482,682,0.000590005
483,683,0.000416085
484,684,0.000300549
485,685,0.00022161
486,686,0.000166061
487,687,0.000127277
488,688,9.8683e-05
489,689,7.75825e-05
490,690,6.20008e-05
491,691,5.00041e-05
492,692,4.09076e-05
493,693,3.38723e-05
494,694,2.8322e-05
495,695,2.39213e-05
496,696,2.02493e-05
497,697,1.77044e-05
498,698,1.52655e-05
499,699,1.33617e-05
500,700,1.18633e-05
501,701,1.05272e-05
502,702,9.41326e-06
503,703,8.56015e-06
504,704,7.78119e-06
505,705,7.06765e-06
506,706,6.58375e-06
507,707,6.01837e-06
508,708,5.66854e-06
509,709,5.28716e-06
510,710,5.09489e-06
511,711,4.75406e-06
512,712,4.51908e-06
